id,name,desc,wuchs,reifezeit,lageansprüche,color,wine_desc,pilzresistent,img_url,verrieselanfälligkeit,ertrag,regelmässig,huglin_min,huglin_max,regen_min,regen_max,sonnestrahlung_min,sonnestrahlung_max,sonnenwinkel_min,sonnenwinkel_max,kalkgehalt_min,kalkgehalt_max,bodentiefe_min,bodentiefe_max,bodenbeschaffenheit_min,bodenbeschaffenheit_max
0,Amigne,"Praktisch nur in den Reblagen von Vétroz kommt diese Rarität vor. Man erkennt sie an ihren grossen, behaarten Blättern und langstieligen Trauben. Die Wuchskraft passt sich gut an die Unterlage an. Die späte Holz- und Traubenreife begrenzt den Anbau auf gute Lagen.",Mittel,Ende Oktober,Hoch,Weiss,"Die neutralen, feinen Weine mit zartem Bukett sind oft ziemlich alkoholreich. Interessant sind insbesondere auch die Weine mit Restsüsse, dank der sie lange gelagert werden können.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/amigne.jpg,3,3,1,,,,,,,,,,,,,,
1,Baron* (Freiburger Neuzüchtung),FR 455-83 r Mehrfachkreuzung mit Cabernet Sauvignon.,Stark,Anfang Oktober,Mittel,Blau,Die Vorteile der neuen innovativen PIWI-Rebsorten liegen auf der Hand:,TRUE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2017-06/Diolinoir.jpg,,,,,,,,,,,,,,,,,
2,Bianca,"Diese Neuzüchtung aus Ungarn (Villard blanc3Bouvier) bringt kleinere, lockere Trauben hervor. Die Reife von Bianca fällt etwa mit derjenigen des Blauburgunders zusammen, die Sorte erfordert aber gute Blauburgunderlagen. Die Resistenz gegenüber Echtem und Falschem Mehltau ist sehr gut, und dank dem lockeren Traubenaufbau ist sie auch wenig botrytisanfällig. Die Sorte neigt zu Alternanz und kann bei schlechten Blühbedingungen stark verrieseln.",Stark,Anfang Oktober,Hoch,Weiss,"Bianca bringt duftige Weine von mittlerem Körper und angenehmer Säure hervor, zum Teil mit einer exotischen Note.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2017-06/Bianca.JPG,,,,,,,,,,,,,,,,,
3,Bronner*,"Auch der Bronner (Merzling3Gm 6494) verlangt gute, nicht zu trockene Blauburgunderlagen. Er ist frohwüchsig, und vor allem die Resistenz gegenüber dem Falschen Mehltau ist ausgesprochen gut. Die Pockenmilbe scheint besonderen Gefallen an der Sorte zu finden. Das Laub des Bronner erinnert an den Sauvignon blanc, die Trauben sind länglich und kompakt.",Mittel bis Stark,Anfang Oktober,Mittel,Weiss,"Der Bronner ist ein fruchtiger, kräftiger Wein.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2018-12/bronner.jpg,,,,,,,,,,,,,,,,,
4,Cabernet Carbon* (Freiburger Neuzüchtung),FR 377-83 r Mehrfachkreuzung mit Cabernet Sauvignon.,Stark,Ende Oktober,Hoch,Blau,"Dieser Wein wird würzig, ein sehr intensiver Cabernet-Typ, farbintensiv und sehr extraktreich.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/styles/large/public/2018-09/cabernet-carol.jpg,,,,,,,,,,,,,,,,,
5,Cabernet Carol* (Freiburger Neuzüchtung),FR 428-82 r Mehrfachkreuzung mit Cabernet Sauvignon,Stark,Ende Oktober,Hoch,Blau,"Fäulnisanfälligkeit wie PN Klon 2/45. Dieser Wein wird würzig, sehr intensiver Cabernet-Typ, sehr farbintensiv und extraktreich.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/cabernet-carol.jpg,,,,,,,,,,,,,,,,,
6,Cabernet Cortis* (Freiburger Neuzüchtung),FR 437-82 r Mehrfachkreuzung mit Cabernet Sauvignon,Stark,Anfang Oktober,Mittel,Blau,"Mostgewicht ca. 10°Oe über PN. Geringe Fäulnisanfälligkeit. Dieser Wein wird sehr würzig, intensiver Cabernet-Typ, farbintensiv und sehr extraktreich.",TRUE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/cabernet-cortis.jpg,,,,,,,,,,,,,,,,,
7,Cabernet Dorsa,Weinsberger Neuzüchtungen,Stark,Anfang Oktober,Mittel bis Hoch,Blau,"Der Wein dieser Spezialitätensorte ist in der Farbe selbständig und besitzt einen ansprechenden, vollmundigen Charakter mit spürbarem Gerbstoff.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/cabernet-dorsa.jpg,1,2,3,,,,,,,,,,,,,,
8,Cabernet Mitos (Weinsberger Neuzüchtung),"Blauer Limberger3Cabernet Sauvignon. Im Sinne der angestrebten Erntequalität (Zucker-, Aroma-, Säurereife) dürfen nur gute Lagen als Standort ausgewählt werden. Cabernet Mitos hat einen bläulichroten-schwarzroten Beerensaft, weshalb sich sein gerbstoffbetonter, körperreicher Wein in Cuvées hervorragend bewährt. Selbständig ausgebaut, besticht Cabernet-Mitos-Wein durch Fülle und Kompaktheit – sehr hoher zuckerfreier Extrakt sowie eine deutliche, mit der Weinentwicklung zunehmend erkennbare Cabernet-Sauvignon-Note.",Mittel bis Stark,Ende Oktober,Hoch,Blau,Gute Fülle und Kompaktheit. Cabernet Sauvignon-Note.,FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/cabernet-mitos.jpg,,,,,,,,,,,,,,,,,
9,Cabernet Sauvignon,"Cabernet Sauvignon ist eine der meistangebauten Qualitätsrebsorten der Welt. Im Verschnitt mit den milderen Rebsorten Cabernet franc, Merlot, Malbec oder Petit Verdot entstehen unter anderem die langlebigen Rotweine des Bordeaux. In der Schweiz findet man diese Sorte vor allem im Tessin, in Genf oder im Wallis. Bezüglich des Bodens ist sie anspruchslos, ganz im Gegensatz zu ihren Klimaansprüchen. Der Cabernet Sauvignon treibt im Frühjahr spät aus und reift spät. Für gute Weinqualität muss der Behang stark reduziert werden (unter 500 g/m2). Starke Unterlagen sind nicht zu empfehlen. Ungenügend ausgereiftes Traubengut führt zu grasigen, unausgewogenen Weinen. Die Beeren des Cabernet Sauvignon sind eher klein. Das hohe Verhältnis der Kerne zum Fruchtfleisch trägt viel zum hohen Tanningehalt von Cabernet Sauvignon bei, während die dicke Beerenhaut der tiefen Farbe des Weines zugrunde liegt. Die feste Schale in Kombination mit dem lockeren Traubengerüst macht die Trauben widerstandsfähig gegenüber Botrytis. Man kann diese Sorte noch sehr spät im Herbst ohne Schaden hängen lassen. Die Blätter hingegen sind im Sommer empfindlich gegenüber Echtem Mehltau. Zur Verfügung stehen verschiedene französische Klone. Klon 15 und 169 sind sehr reichtragend, kleinere Erträge bringen die Klone 336 und 338.",Mittel,Ende Oktober,Hoch,Blau,"Bemerkenswert am Cabernet Sauvignon ist der eindeutige Fruchtgeschmack, der oft mit schwarzen Johannisbeeren verglichen wird, während das Aroma an grüne Paprika erinnert. Die Weine sind meist sehr robust und langlebig.",FALSE,https:/www.rebschule-meier.ch/sites/default/files/2018-09/cabernet-sauvignon.jpg,1,2,2,1800,2100,300,500,3000,4000,1,2,1,2,1,3,1,3
